conf,m,use_trace,in0_sharded,out_sharded,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,transfer_time_in0,transfer_time_in1,kernel_config_time,first_run_time,second_run_time,compile_time,inference_time_avg,TFLOPs (avg),Utilization (vs user grid),Utilization (vs 8x8 full grid)
f16_m2,256,False,True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,7054.76,6531.56,57.39,158181.11,371.64,157809.47,257.33,0.13,0.10%,0.07%
f16_m2,512,False,True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,25440.96,24308.2,59.77,160608.24,365.43,160242.81,244.19,1.1,0.84%,0.61%
f16_m2,1024,False,True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,97830.64,95796.93,62.99,162242.12,385.12,161857.0,243.73,8.81,6.72%,4.89%
f16_m2,2048,False,True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,395579.62,397300.06,82.22,184993.31,708.64,184284.67,399.8,42.97,32.78%,23.84%
f16_m2,3072,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,862264.18,868134.05,59.54,178257.73,2184.18,176073.55,1990.74,29.13,22.22%,16.16%
f16_m2,4096,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,1547072.15,1533871.07,62.46,190421.52,4418.33,186003.19,4383.52,31.35,23.92%,17.40%
f16_m2,8192,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,6231834.34,6160305.34,64.91,209736.86,28122.78,181614.08,29435.45,37.35,28.50%,20.73%
f16_m4,256,False,True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,7181.36,6397.51,56.29,81254.78,394.43,80860.35,243.64,0.14,0.21%,0.15%
f16_m4,512,False,True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,25498.42,24252.34,61.27,82773.48,383.38,82390.1,244.95,1.1,1.67%,1.22%
f16_m4,1024,False,True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,97682.81,95554.61,63.25,83099.42,381.37,82718.05,248.8,8.63,13.17%,9.58%
f16_m4,2048,False,True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,402626.54,393926.36,96.81,96528.62,951.42,95577.2,674.03,25.49,38.89%,28.29%
f16_m4,3072,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,854499.8,851013.86,55.82,88565.31,3006.56,85558.75,2877.01,20.15,30.75%,22.37%
f16_m4,4096,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,1529188.49,1508408.29,55.56,98921.75,6321.32,92600.43,6364.27,21.6,32.95%,23.97%
f16_m4,8192,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,6252859.88,6301638.79,68.75,132491.15,43745.43,88745.72,45940.03,23.93,36.52%,26.56%
f8b_m2,256,False,True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,39150.13,36385.18,65.82,104729.64,404.97,104324.67,246.66,0.14,0.10%,0.08%
f8b_m2,512,False,True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,140774.04,141267.98,68.06,104276.49,401.69,103874.79,252.0,1.07,0.81%,0.59%
f8b_m2,1024,False,True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,561827.44,560474.67,68.73,116430.97,408.64,116022.33,250.38,8.58,6.54%,4.76%
f8b_m2,2048,False,True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,2165491.27,2136761.84,67.39,170475.87,646.69,169829.19,359.18,47.83,36.49%,26.54%
f8b_m2,3072,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.HiFi2,4849017.89,4907354.26,58.65,174156.76,1742.0,172414.76,1510.97,38.37,29.28%,21.29%
f8b_m2,4096,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.HiFi2,8633375.54,8644924.56,52.91,184825.05,3487.85,181337.2,3385.24,40.6,30.97%,22.53%
f8b_m2,8192,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.HiFi2,34218170.51,34279295.9,55.02,202935.28,23680.48,179254.8,24773.45,44.38,33.86%,24.63%
f8b_m0,256,False,True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,39818.85,36036.78,56.42,81537.53,392.37,81145.16,247.37,0.14,0.05%,0.04%
f8b_m0,512,False,True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,136072.49,135575.41,61.46,84214.16,388.03,83826.13,251.83,1.07,0.41%,0.30%
f8b_m0,1024,False,True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,557569.17,559598.87,67.11,93598.81,387.87,93210.94,250.54,8.57,3.27%,2.38%
f8b_m0,2048,False,True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,2192504.79,2187160.67,68.92,91102.95,510.21,90592.75,250.4,68.61,26.17%,19.03%
f8b_m0,3072,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.LoFi,4845902.86,4860321.94,53.4,87084.31,1226.15,85858.16,989.06,58.62,22.36%,16.26%
f8b_m0,4096,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.LoFi,8653709.12,8534465.41,54.55,92370.32,2379.95,89990.37,2233.29,61.54,23.48%,17.07%
f8b_m0,8192,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.LoFi,33823668.35,33894590.81,52.95,103388.66,14488.21,88900.45,15113.17,72.75,27.75%,20.18%
f4b_m0,256,False,True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,34493.91,33523.69,64.39,157957.34,368.28,157589.06,246.83,0.14,0.05%,0.04%
f4b_m0,512,False,True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,129186.3,128451.96,57.4,162999.65,386.07,162613.58,246.46,1.09,0.42%,0.30%
f4b_m0,1024,False,True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,535862.21,532329.69,66.45,146258.47,391.24,145867.23,259.2,8.28,3.16%,2.30%
f4b_m0,2048,False,True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,2046934.48,2033046.69,62.95,167090.1,491.44,166598.67,247.24,69.49,26.51%,19.28%
f4b_m0,3072,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT4_B,MathFidelity.LoFi,4610045.56,4658945.78,52.77,174439.2,1070.57,173368.63,820.91,70.63,26.94%,19.60%
f4b_m0,4096,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT4_B,MathFidelity.LoFi,8228607.97,8228733.3,52.1,174452.4,1971.32,172481.08,1773.07,77.51,29.57%,21.51%
f4b_m0,8192,False,False,False,DRAM,DRAM,DRAM,DataType.BFLOAT4_B,MathFidelity.LoFi,32781887.76,32938523.5,52.59,195873.07,12485.36,183387.7,12931.69,85.02,32.43%,23.59%
