m,run,tflops,power
256,21.100838979085285,1.5901942113893413,71.295
512,21.515687306722008,12.476266836064978,71.295
1024,34.42525863647461,62.38104615791255,77.729
2048,147.55884806315103,116.42723841709241,114.9695
3072,313.8502438863119,184.74434742514725,204.4565
4096,679.9077987670898,202.14351669627086,211.7715
8192,4346.282482147217,252.9774887601881,256.106
256,20.28862635294596,1.6538543032080537,71.368
512,21.398067474365234,12.544845758692189,71.295
1024,34.26949183146159,62.664589792033986,71.295
2048,146.69259389241535,117.1147685656152,71.295
3072,315.46831130981445,183.7967758322867,184.693
4096,679.1607538859049,202.36586505569628,220.431
8192,4336.952368418375,253.52172087077273,256.1785
256,20.436445871988933,1.641891756041159,71.568
512,21.36389414469401,12.564912285275916,71.295
1024,34.17253494262695,62.84238648392515,71.568
2048,136.12747192382812,126.2042770735742,100.645
3072,315.48182169596356,183.78890480694173,204.0835
4096,668.4605280558268,205.6051893920081,258.812
8192,4330.595334370931,253.8938743709049,258.948
256,24.789174397786457,1.353592155251295,71.295
512,21.303494771321617,12.600536150592673,71.295
1024,35.83033879597982,59.934784882384335,71.295
2048,131.6356658935547,130.5107477322465,71.295
3072,290.40495554606116,199.6593287706602,218.292
4096,647.8659311930339,212.1410416178368,263.7935
8192,4433.612028757731,247.99455176597303,268.839
256,23.690859476725258,1.4163450689902182,71.295
512,21.351973215738933,12.571927347779326,71.295
1024,35.50370534261067,60.48618383001965,71.295
2048,130.32754262288412,131.8207098687626,71.295
3072,290.5424435933431,199.56484766526722,242.564
4096,648.4071413675945,211.963972485126,142.0395
8192,4448.6721356709795,247.15501485482343,266.4625
256,23.34435780843099,1.4373679616871522,71.295
512,21.24786376953125,12.633526782345422,71.295
1024,35.353501637776695,60.74316682976953,71.295
2048,131.56493504842123,130.5809118339709,71.368
3072,290.51701227823895,199.5823171982384,218.292
4096,646.5967496236166,212.5574456599157,263.7935
8192,4443.118572235107,247.4639400007935,269.203
