conf,m,k,n,use_trace,grid_size,in0_sharded,out_sharded,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,kernel_config_time,first_run_time,second_run_time,compile_time,transfer_time_in0,transfer_time_in1
f16_m2,256,256,256,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,57.39,158181.11,371.64,157809.47,7054.76,6531.56
f16_m2,512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,59.77,160608.24,365.43,160242.81,25440.96,24308.20
f16_m2,1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,62.99,162242.12,385.12,161857.00,97830.64,95796.93
f16_m2,2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,82.22,184993.31,708.64,184284.67,395579.62,397300.06
f16_m2,3072,3072,3072,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,59.54,178257.73,2184.18,176073.55,862264.18,868134.05
f16_m2,4096,4096,4096,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,62.46,190421.52,4418.33,186003.19,1547072.15,1533871.07
f16_m2,8192,8192,8192,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,64.91,209736.86,28122.78,181614.08,6231834.34,6160305.34
f16_m4,256,256,256,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,56.29,81254.78,394.43,80860.35,7181.36,6397.51
f16_m4,512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,61.27,82773.48,383.38,82390.10,25498.42,24252.34
f16_m4,1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,63.25,83099.42,381.37,82718.05,97682.81,95554.61
f16_m4,2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,96.81,96528.62,951.42,95577.20,402626.54,393926.36
f16_m4,3072,3072,3072,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,55.82,88565.31,3006.56,85558.75,854499.80,851013.86
f16_m4,4096,4096,4096,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,55.56,98921.75,6321.32,92600.43,1529188.49,1508408.29
f16_m4,8192,8192,8192,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,68.75,132491.15,43745.43,88745.72,6252859.88,6301638.79
f8b_m2,256,256,256,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,65.82,104729.64,404.97,104324.67,39150.13,36385.18
f8b_m2,512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,68.06,104276.49,401.69,103874.79,140774.04,141267.98
f8b_m2,1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,68.73,116430.97,408.64,116022.33,561827.44,560474.67
f8b_m2,2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.HiFi2,67.39,170475.87,646.69,169829.19,2165491.27,2136761.84
f8b_m2,3072,3072,3072,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.HiFi2,58.65,174156.76,1742.00,172414.76,4849017.89,4907354.26
f8b_m2,4096,4096,4096,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.HiFi2,52.91,184825.05,3487.85,181337.20,8633375.54,8644924.56
f8b_m2,8192,8192,8192,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.HiFi2,55.02,202935.28,23680.48,179254.80,34218170.51,34279295.90
f8b_m0,256,256,256,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,56.42,81537.53,392.37,81145.16,39818.85,36036.78
f8b_m0,512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,61.46,84214.16,388.03,83826.13,136072.49,135575.41
f8b_m0,1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,67.11,93598.81,387.87,93210.94,557569.17,559598.87
f8b_m0,2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT8_B,MathFidelity.LoFi,68.92,91102.95,510.21,90592.75,2192504.79,2187160.67
f8b_m0,3072,3072,3072,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.LoFi,53.40,87084.31,1226.15,85858.16,4845902.86,4860321.94
f8b_m0,4096,4096,4096,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.LoFi,54.55,92370.32,2379.95,89990.37,8653709.12,8534465.41
f8b_m0,8192,8192,8192,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT8_B,MathFidelity.LoFi,52.95,103388.66,14488.21,88900.45,33823668.35,33894590.81
f4b_m0,256,256,256,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,64.39,157957.34,368.28,157589.06,34493.91,33523.69
f4b_m0,512,512,512,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,57.40,162999.65,386.07,162613.58,129186.30,128451.96
f4b_m0,1024,1024,1024,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,66.45,146258.47,391.24,145867.23,535862.21,532329.69
f4b_m0,2048,2048,2048,False,"(8, 8)",True,True,L1,DRAM,L1,DataType.BFLOAT4_B,MathFidelity.LoFi,62.95,167090.10,491.44,166598.67,2046934.48,2033046.69
f4b_m0,3072,3072,3072,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT4_B,MathFidelity.LoFi,52.77,174439.20,1070.57,173368.63,4610045.56,4658945.78
f4b_m0,4096,4096,4096,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT4_B,MathFidelity.LoFi,52.10,174452.40,1971.32,172481.08,8228607.97,8228733.30
f4b_m0,8192,8192,8192,False,"(8, 8)",False,False,DRAM,DRAM,DRAM,DataType.BFLOAT4_B,MathFidelity.LoFi,52.59,195873.07,12485.36,183387.70,32781887.76,32938523.50
