conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,conversion_in0,conversion_in1,transfer_in0,transfer_in1,tilization_in0,tilization_in1,first_run,inference_avg,num_run,TFLOPs (avg),"Utilization (vs (8, 8) user grid)",Utilization (vs 8x11 full grid)
f16_m2,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0002963542938232422,0.00020051002502441406,0.00016379356384277344,9.822845458984375e-05,0.3455169200897217,0.0001876354217529297,0.7244353294372559,0.00021598100662231445,100,0.1553582536017927,0.09%,0.12%
f16_m2,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00017881393432617188,0.0002040863037109375,0.00015807151794433594,0.0001494884490966797,0.3045964241027832,0.00025391578674316406,0.5984859466552734,0.00020426273345947266,100,1.3141675500649252,0.73%,1.00%
f16_m2,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0002689361572265625,0.0002090930938720703,0.0004165172576904297,0.00034880638122558594,0.33364295959472656,0.0001888275146484375,0.6666257381439209,0.00022269248962402343,100,9.643269297611443,5.35%,7.36%
f16_m2,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0002453327178955078,0.00020813941955566406,0.0011487007141113281,0.0011219978332519531,0.3133218288421631,0.00020933151245117188,0.7263791561126709,0.000899815559387207,100,19.09265627246971,10.59%,14.57%
f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.00026154518127441406,0.0001995563507080078,0.0024466514587402344,0.0023043155670166016,0.2820773124694824,0.0001842975616455078,0.6116647720336914,0.0022320795059204103,100,25.976699459946335,14.41%,19.82%
f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,0.0002460479736328125,0.00022792816162109375,0.0045506954193115234,0.004186153411865234,0.3437647819519043,0.0002319812774658203,0.6928675174713135,0.0045809149742126465,100,30.00251134231597,16.65%,22.89%
f16_m4,256,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00023627281188964844,0.0001347064971923828,0.00012946128845214844,8.535385131835938e-05,0.0002219676971435547,0.00016021728515625,0.00023627281188964844,0.00020855188369750977,100,0.16089249066035005,0.18%,0.25%
f16_m4,512,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0002541542053222656,0.00014448165893554688,0.0001983642578125,0.00014543533325195312,0.0002446174621582031,0.0001709461212158203,0.0002532005310058594,0.0002259087562561035,100,1.1882472394991441,1.32%,1.81%
f16_m4,1024,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00019860267639160156,0.0001442432403564453,0.0003590583801269531,0.0003685951232910156,0.00022745132446289062,0.00016808509826660156,0.00025534629821777344,0.0002275371551513672,100,9.43794716327276,10.47%,14.40%
f16_m4,2048,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.0002484321594238281,0.00013947486877441406,0.0011725425720214844,0.0010390281677246094,0.00023102760314941406,0.00016927719116210938,0.00024080276489257812,0.0009532642364501954,100,18.022148033136233,20.00%,27.50%
f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00024771690368652344,0.00014352798461914062,0.002377748489379883,0.002298593521118164,0.00023174285888671875,0.00016927719116210938,0.00024127960205078125,0.0023549675941467287,100,24.62117043143795,27.32%,37.57%
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,0.00024366378784179688,0.00014162063598632812,0.004150390625,0.004011392593383789,0.0002446174621582031,0.0001735687255859375,0.0002422332763671875,0.00481295108795166,100,28.55606694529957,31.69%,43.57%
