conf,m,grid_size,in0_storage_type,in1_storage_type,out_storage_type,dtype,math_fidelity,utilization_vs_user_grid_perc,utilization_vs_full_grid_perc,run,tflops,voltage,current,power,aiclk,temp,iters
f16_m2,256,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,0.09%,0.07%,272.524356842041,0.12312452504731027,0.76,33.0,24.0,1000.0,42.3125,300
f16_m2,512,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,0.79%,0.58%,257.7471733093262,1.0414680888773382,0.76,33.0,24.0,1000.0,44.625,300
f16_m2,1024,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,6.20%,4.51%,264.24646377563477,8.126820761633262,0.76,37.0,27.0,1000.0,45.9375,300
f16_m2,2048,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi2,24.77%,18.01%,529.2614301045735,32.460081552902004,0.76,41.0,30.0,1000.0,48.0,300
f16_m2,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,19.71%,14.34%,2244.1577911376953,25.83689022446389,0.76,42.0,33.0,1000.0,49.125,300
f16_m2,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,22.76%,16.56%,4606.151580810547,29.83813082586718,0.751,54.5,43.0,1000.0,51.0,300
f16_m2,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi2,25.65%,18.65%,32705.900669097897,33.61814245387443,0.75,57.5,43.5,975.0,52.6875,300
f16_m4,256,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,0.19%,0.14%,268.8479423522949,0.12480821577585555,0.76,43.0,34.0,1000.0,52.0625,300
f16_m4,512,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,1.53%,1.11%,268.2010332743327,1.0008740560124074,0.76,43.0,34.0,1000.0,52.1875,300
f16_m4,1024,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,12.26%,8.92%,267.2743797302246,8.034753088446333,0.76,43.0,34.0,1000.0,51.6875,300
f16_m4,2048,"(8, 8)",L1,DRAM,L1,DataType.BFLOAT16,MathFidelity.HiFi4,39.82%,28.96%,658.3158175150553,26.09669816054071,0.76,43.0,34.0,1000.0,51.3125,300
f16_m4,3072,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,31.53%,22.93%,2806.0221672058105,20.66343565408735,0.76,43.0,34.0,1000.0,51.6875,300
f16_m4,4096,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,34.13%,24.82%,6143.856843312582,22.370142563070704,0.76,57.0,43.0,989.0,53.1875,300
f16_m4,8192,"(8, 8)",DRAM,DRAM,DRAM,DataType.BFLOAT16,MathFidelity.HiFi4,37.50%,27.27%,44736.43779754639,24.57754085722721,0.75,58.5,44.5,971.5,55.40625,300
